,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
10,"['FTR', 'SPH', 'STNG']","['INCY', 'ALXN', 'DIS']",20170712,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),20180112,"[['2017-07-12', '133.220001'], ['2017-07-12', '124.940002'], ['2017-07-12', '104.379997']]","[['2017-10-20', '113.980003'], ['2017-10-20', '139.205002'], ['2017-10-20', '99.277496']]","[['2017-08-15', '126.370003'], ['2017-08-15', '135.210007'], ['2017-08-15', '101.510002']]","[['2017-07-20', '133.789993'], ['2017-07-20', '129.809998'], ['2017-07-20', '107.360001']]"
11,"['MAT', 'HAS', 'MZOR', 'CARA']","['GOOS', 'RTN']",20170711,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),20180111,"[['2017-07-11', '19.049999'], ['2017-07-11', '165.841873']]","[['2017-10-20', '20.780001'], ['2017-10-20', '188.550003']]","[['2017-08-14', '19.110001'], ['2017-08-14', '179.573242']]","[['2017-07-19', '19.450001'], ['2017-07-19', '168.261536']]"
12,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['NVCR', 'NEE', 'IDXX', 'AVAV', 'PETS', 'GD', 'PTLA']",20170710,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),20180110,"[['2017-07-10', '18.100000'], ['2017-07-10', '140.110931'], ['2017-07-10', '161.509995'], ['2017-07-10', '39.380001'], ['2017-07-10', '40.341522'], ['2017-07-10', '200.270676'], ['2017-07-10', '59.630001']]","[['2017-10-20', '18.200001'], ['2017-10-20', '153.520004'], ['2017-10-20', '164.490005'], ['2017-10-20', '52.610001'], ['2017-10-20', '37.020000'], ['2017-10-20', '213.369995'], ['2017-10-20', '50.480000']]","[['2017-08-11', '18.299999'], ['2017-08-11', '146.220840'], ['2017-08-11', '153.020004'], ['2017-08-11', '38.310001'], ['2017-08-11', '47.759998'], ['2017-08-11', '197.103302'], ['2017-08-11', '55.680000']]","[['2017-07-18', '18.750000'], ['2017-07-18', '140.567947'], ['2017-07-18', '165.529999'], ['2017-07-18', '38.450001'], ['2017-07-18', '39.943188'], ['2017-07-18', '200.619278'], ['2017-07-18', '64.930000']]"
13,"['HAL', 'SJM', 'CBI']","['IIVI', 'PEP', 'T']",20170707,PepsiCo Is A Buy - Cramer's Lightning Round (7/6/17),20180107,"[['2017-07-07', '35.450001'], ['2017-07-07', '114.707298'], ['2017-07-07', '36.521378']]","[['2017-10-20', '42.950001'], ['2017-10-20', '111.591599'], ['2017-10-20', '35.463902']]","[['2017-08-10', '35.750000'], ['2017-08-10', '115.571243'], ['2017-08-10', '37.716370']]","[['2017-07-17', '37.299999'], ['2017-07-17', '114.131325'], ['2017-07-17', '35.938694']]"
14,"['LOW', 'HD', 'EXEL']","['PH', 'SNV']",20170706,Parker-Hannifin Can Reach $200 - Cramer's Lightning Round (7/5/17),20180106,"[['2017-07-06', '158.782074'], ['2017-07-06', '44.526142']]","[['2017-10-20', '184.414993'], ['2017-10-20', '47.209999']]","[['2017-08-09', '160.345505'], ['2017-08-09', '43.230621']]","[['2017-07-14', '164.368576'], ['2017-07-14', '44.306900']]"
15,"['AAOI', 'AVGO', 'MOS', 'AGCO', 'FPI', 'FEYE', 'PFPT', 'BGS', 'MDLZ']","['KEY', 'ULTA', 'RAI', 'NTNX']",20170626,Nutanix Is Undervalued - Cramer's Lightning Round (6/23/17),20171226,"[['2017-06-26', '18.022417'], ['2017-06-26', '289.720001'], ['2017-06-26', '19.750000']]","[['2017-10-20', '18.430000'], ['2017-10-20', '204.660004'], ['2017-10-20', '26.549900']]","[['2017-07-31', '17.942846'], ['2017-07-31', '251.210007'], ['2017-07-31', '21.245001']]","[['2017-07-05', '19.096600'], ['2017-07-05', '279.040009'], ['2017-07-05', '19.500000']]"
16,"['X', 'NUE', 'CRC', 'VRX']","['NYCB', 'AVID', 'C', 'ALXN', 'IDXX', 'ZTS', 'INCY', 'MAT', 'ABBV', 'HAS']",20170623,Buy Hasbro At $110 - Cramer's Lightning Round (6/22/17),20171223,"[['2017-06-23', '12.535817'], ['2017-06-23', '5.050000'], ['2017-06-23', '63.117702'], ['2017-06-23', '126.070000'], ['2017-06-23', '167.350006'], ['2017-06-23', '62.779999'], ['2017-06-23', '136.279999'], ['2017-06-23', '20.495577'], ['2017-06-23', '71.494118'], ['2017-06-23', '111.311836']]","[['2017-10-20', '12.845000'], ['2017-10-20', '4.600000'], ['2017-10-20', '73.584999'], ['2017-10-20', '139.205002'], ['2017-10-20', '164.490005'], ['2017-10-20', '65.864998'], ['2017-10-20', '114.000000'], ['2017-10-20', '15.990000'], ['2017-10-20', '95.760002'], ['2017-10-20', '97.639999']]","[['2017-07-28', '12.762844'], ['2017-07-28', '5.190000'], ['2017-07-28', '67.119171'], ['2017-07-28', '137.990005'], ['2017-07-28', '167.520004'], ['2017-07-28', '62.209999'], ['2017-07-28', '135.740005'], ['2017-07-28', '19.464851'], ['2017-07-28', '69.952003'], ['2017-07-28', '105.739998']]","[['2017-07-03', '13.236638'], ['2017-07-03', '5.270000'], ['2017-07-03', '67.945351'], ['2017-07-03', '121.080002'], ['2017-07-03', '159.320007'], ['2017-07-03', '62.669998'], ['2017-07-03', '125.870003'], ['2017-07-03', '20.802813'], ['2017-07-03', '71.277588'], ['2017-07-03', '110.148079']]"
17,"['SFS', 'AMZN', 'SEMG']","['AKS', 'CARA', 'NUE']",20170621,Smart & Final Cannot Compete With Amazon - Cramer's Lightning Round (6/20/17),20171221,"[['2017-06-21', '6.190000'], ['2017-06-21', '19.500000'], ['2017-06-21', '55.220001']]","[['2017-10-20', '6.170000'], ['2017-10-20', '12.336800'], ['2017-10-20', '60.029999']]","[['2017-07-26', '6.240000'], ['2017-07-26', '14.580000'], ['2017-07-26', '57.724937']]","[['2017-06-29', '6.750000'], ['2017-06-29', '25.510000'], ['2017-06-29', '57.774597']]"
18,"['MRO', 'MPC']","['HOME', 'UCTT', 'GOOS', 'T']",20170620,AT&T Has Growth And Dividend - Cramer's Lightning Round (6/19/17),20171220,"[['2017-06-20', '22.530001'], ['2017-06-20', '20.309999'], ['2017-06-20', '20.879999'], ['2017-06-20', '37.689762']]","[['2017-10-20', '21.930000'], ['2017-10-20', '32.820000'], ['2017-10-20', '20.780001'], ['2017-10-20', '35.459999']]","[['2017-07-25', '23.020000'], ['2017-07-25', '24.020000'], ['2017-07-25', '19.680000'], ['2017-07-25', '35.770802']]","[['2017-06-28', '22.870001'], ['2017-06-28', '19.559999'], ['2017-06-28', '20.750000'], ['2017-06-28', '36.987831']]"
19,['SWIR'],"['CMCSA', 'SGYP', 'BX', 'CMG']",20170619,Chipotle Is A Buy - Cramer's Lightning Round (6/16/17),20171219,"[['2017-06-19', '41.456860'], ['2017-06-19', '4.130000'], ['2017-06-19', '32.552231'], ['2017-06-19', '458.910004']]","[['2017-10-20', '37.142502'], ['2017-10-20', '2.785000'], ['2017-10-20', '34.599998'], ['2017-10-20', '325.244995']]","[['2017-07-24', '39.305759'], ['2017-07-24', '4.280000'], ['2017-07-24', '33.812191'], ['2017-07-24', '339.980011']]","[['2017-06-27', '38.927792'], ['2017-06-27', '4.390000'], ['2017-06-27', '32.434113'], ['2017-06-27', '413.980011']]"
