,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
265,"['IRDM', 'AGNC', 'GBX']","['BOOT', 'NAT', 'AA']",20151106,Buy Nordic American Tanker - Cramer's Lightning Round (11/5/15),20160506,"[['2015-11-06', '15.790000'], ['2015-11-06', '12.570985'], ['2015-11-06', '21.538557']]","[['2016-05-06', '7.650000'], ['2016-05-06', '13.096803'], ['2016-05-06', '23.961855']]","[['2015-12-11', '12.370000'], ['2015-12-11', '11.856914'], ['2015-12-11', '20.993576']]","[['2015-11-16', '9.870000'], ['2015-11-16', '12.786867'], ['2015-11-16', '19.642975']]"
266,['NLY'],"['HALO', 'SBGI', 'RAD', 'OKE', 'ABBV', 'MSFT', 'WBA']",20151105,Sinclair Broadcast Group Is A Gem - Cramer's Lightning Round (11/4/15),20160505,"[['2015-11-05', '17.770000'], ['2015-11-05', '31.984774'], ['2015-11-05', '7.830000'], ['2015-11-05', '28.221064'], ['2015-11-05', '58.306187'], ['2015-11-05', '51.683304'], ['2015-11-05', '82.853203']]","[['2016-05-05', '9.630000'], ['2016-05-05', '31.054398'], ['2016-05-05', '8.000000'], ['2016-05-05', '36.613983'], ['2016-05-05', '59.077221'], ['2016-05-05', '48.126480'], ['2016-05-05', '79.242126']]","[['2015-12-10', '16.420000'], ['2015-12-10', '31.710232'], ['2015-12-10', '7.880000'], ['2015-12-10', '20.061516'], ['2015-12-10', '51.813267'], ['2015-12-10', '52.883236'], ['2015-12-10', '80.769753']]","[['2015-11-13', '15.410000'], ['2015-11-13', '31.620989'], ['2015-11-13', '7.600000'], ['2015-11-13', '25.630159'], ['2015-11-13', '55.603119'], ['2015-11-13', '50.219673'], ['2015-11-13', '76.654770']]"
267,"['BBY', 'GME', 'LL', 'HD', 'NYCB', 'BAC', 'JCP']","['BMY', 'DAL', 'LUV']",20151104,Bristol-Myers Squibb Is A Buy - Cramer's Lightning Round (11/3/15),20160504,"[['2015-11-04', '62.394238'], ['2015-11-04', '49.114471'], ['2015-11-04', '45.867760']]","[['2016-05-04', '68.072281'], ['2016-05-04', '40.293457'], ['2016-05-04', '41.105774']]","[['2015-12-09', '65.189720'], ['2015-12-09', '47.999557'], ['2015-12-09', '43.829498']]","[['2015-11-12', '60.587643'], ['2015-11-12', '48.455223'], ['2015-11-12', '45.916931']]"
268,"['AMBA', 'INTC', 'TXN', 'MBLY', 'APC', 'LNG', 'MDR', 'KO', 'PEP', 'OZM', 'BAC']",['HAWK'],20151103,Mobileye Is Expensive - Cramer's Lightning Round (11/2/15),20160503,"[['2015-11-03', '44.240002']]","[['2016-05-03', '31.990000']]","[['2015-12-08', '47.330002']]","[['2015-11-11', '45.080002']]"
269,"['HZNP', 'VRX', 'X', 'RICE']","['AYI', 'Q', 'RRD']",20151102,Horizon Pharma Is Down On Guilt By Association - Cramer's Lightning Round (10/30/15),20160502,"[['2015-11-02', '217.818100'], ['2015-11-02', '66.050003'], ['2015-11-02', '15.415482']]","[['2016-05-02', '244.255264'], ['2016-05-02', '69.099998'], ['2016-05-02', '16.354008']]","[['2015-12-07', '226.505005'], ['2015-12-07', '67.410004'], ['2015-12-07', '13.889301']]","[['2015-11-10', '211.161194'], ['2015-11-10', '67.260002'], ['2015-11-10', '14.882046']]"
270,"['VG', 'VZ', 'TMUS', 'RAX', 'WTW', 'WWD', 'BA', 'HON', 'AA', 'FTNT', 'PANW']","['IRWD', 'PAY', 'SWIR', 'NVAX']",20151030,Investors Should Stick To VeriFone Systems - Cramer's Lightning Round (10/29/15),20160430,"[['2015-10-30', '11.360000'], ['2015-10-30', '30.139999'], ['2015-10-30', '24.920000'], ['2015-10-30', '6.750000']]","[['2016-04-29', '10.450000'], ['2016-04-29', '28.459999'], ['2016-04-29', '16.129999'], ['2016-04-29', '5.240000']]","[['2015-12-04', '11.970000'], ['2015-12-04', '28.180000'], ['2015-12-04', '17.350000'], ['2015-12-04', '8.720000']]","[['2015-11-09', '11.350000'], ['2015-11-09', '30.270000'], ['2015-11-09', '17.690001'], ['2015-11-09', '7.500000']]"
271,"['VMW', 'SFL', 'NAT']","['AA', 'MSI', 'MLM', 'WM', 'BMY', 'HD']",20151027,Buy Alcoa And Put It Away - Cramer's Lightning Round (10/26/15),20160427,"[['2015-10-27', '20.619387'], ['2015-10-27', '66.846481'], ['2015-10-27', '144.493011'], ['2015-10-27', '51.659035'], ['2015-10-27', '63.516243'], ['2015-10-27', '119.207146']]","[['2016-04-27', '26.914644'], ['2016-04-27', '73.511055'], ['2016-04-27', '170.473877'], ['2016-04-27', '54.393700'], ['2016-04-27', '67.543335'], ['2016-04-27', '131.303741']]","[['2015-12-01', '22.462652'], ['2015-12-01', '68.843468'], ['2015-12-01', '156.993134'], ['2015-12-01', '51.259750'], ['2015-12-01', '64.904457'], ['2015-12-01', '129.315887']]","[['2015-11-04', '22.225704'], ['2015-11-04', '62.336548'], ['2015-11-04', '143.343124'], ['2015-11-04', '51.468910'], ['2015-11-04', '62.394238'], ['2015-11-04', '120.078667']]"
272,"['NVDA', 'INTC', 'AMSG']","['AEP', 'ALXN', 'MKC', 'BC']",20151026,McCormick Is A Good Buy - Cramer's Lightning Round (10/23/15),20160426,"[['2015-10-26', '53.833408'], ['2015-10-26', '170.009995'], ['2015-10-26', '82.106995'], ['2015-10-26', '48.509651']]","[['2016-04-26', '59.681377'], ['2016-04-26', '154.009995'], ['2016-04-26', '90.495628'], ['2016-04-26', '50.376595']]","[['2015-11-30', '52.670349'], ['2015-11-30', '178.440002'], ['2015-11-30', '82.781418'], ['2015-11-30', '51.459217']]","[['2015-11-03', '52.837185'], ['2015-11-03', '177.669998'], ['2015-11-03', '81.866119'], ['2015-11-03', '52.819447']]"
273,"['MCK', 'CTL', 'NVCR']","['LNG', 'WM']",20151023,Waste Management Can Go To $60 - Cramer's Lightning Round (10/22/15),20160423,"[['2015-10-23', '46.430000'], ['2015-10-23', '50.565777']]","[['2016-04-22', '37.400002'], ['2016-04-22', '54.384056']]","[['2015-11-27', '47.599998'], ['2015-11-27', '51.259750']]","[['2015-11-02', '46.380001'], ['2015-11-02', '51.754101']]"
274,"['CRC', 'OXY', 'CHK', 'S', 'VZ', 'T', 'MU', 'AMAG', 'CELG', 'KSU', 'UNP']",['TSN'],20151022,'I Blew It With Tyson Foods' - Cramer's Lightning Round (10/21/15),20160422,"[['2015-10-22', '46.038052']]","[['2016-04-22', '61.868763']]","[['2015-11-25', '48.643421']]","[['2015-10-30', '43.286304']]"
275,"['SAN', 'MYL', 'CTL']","['CSCO', 'FUN', 'FIT', 'SIX']",20151020,Cisco Is An Inexpensive Stock - Cramer's Lightning Round (10/19/15),20160420,"[['2015-10-20', '26.592043'], ['2015-10-20', '51.164169'], ['2015-10-20', '38.500000'], ['2015-10-20', '46.686409']]","[['2016-04-20', '26.987406'], ['2016-04-20', '54.215534'], ['2016-04-20', '17.690001'], ['2016-04-20', '54.379005']]","[['2015-11-23', '25.593674'], ['2015-11-23', '51.083408'], ['2015-11-23', '27.030001'], ['2015-11-23', '48.249321']]","[['2015-10-28', '27.394468'], ['2015-10-28', '51.065464'], ['2015-10-28', '39.090000'], ['2015-10-28', '47.079418']]"
276,['NVGS'],"['HZNP', 'FEYE', 'PANW']",20151019,FireEye Is Cheap Compared To Palo Alto - Cramer's Lightning Round (10/16/15),20160419,"[['2015-10-19', '19.070000'], ['2015-10-19', '31.120001'], ['2015-10-19', '167.960007']]","[['2016-04-19', '14.470000'], ['2016-04-19', '17.290001'], ['2016-04-19', '140.279999']]","[['2015-11-20', '20.280001'], ['2015-11-20', '23.480000'], ['2015-11-20', '170.970001']]","[['2015-10-27', '16.540001'], ['2015-10-27', '27.209999'], ['2015-10-27', '158.600006']]"
277,"['RAD', 'HIMX']","['OSIR', 'PPG', 'OPK']",20151015,Himax 'Forever Flat' - Cramer's Lightning Round (10/14/15),20160415,"[['2015-10-15', '16.500000'], ['2015-10-15', '96.231735'], ['2015-10-15', '9.280000']]","[['2016-04-15', '6.400000'], ['2016-04-15', '112.655479'], ['2016-04-15', '10.800000']]","[['2015-11-18', '10.540000'], ['2015-11-18', '101.403801'], ['2015-11-18', '11.120000']]","[['2015-10-23', '17.250000'], ['2015-10-23', '100.817406'], ['2015-10-23', '9.450000']]"
278,"['R', 'VMW']","['BOOT', 'MRK', 'HAS']",20151013,Ryder System Has Execution Issues - Cramer's Lightning Round (10/12/15),20160413,"[['2015-10-13', '17.299999'], ['2015-10-13', '46.490467'], ['2015-10-13', '70.665970']]","[['2016-04-13', '7.900000'], ['2016-04-13', '53.508110'], ['2016-04-13', '78.651482']]","[['2015-11-16', '9.870000'], ['2015-11-16', '50.465698'], ['2015-11-16', '72.656853']]","[['2015-10-21', '17.400000'], ['2015-10-21', '47.543007'], ['2015-10-21', '70.532516']]"
279,"['GLNG', 'ETP', 'CQH', 'QSII', 'HSIC']","['VZ', 'DTV', 'GWPH', 'T', 'CI', 'WBA', 'RDUS']",20151012,Biotech Stocks Are In Pain-Take Mode - Cramer's Lightning Round (10/9/15),20160412,"[['2015-10-12', '40.423996'], ['2015-10-12', '86.790001'], ['2015-10-12', '30.179874'], ['2015-10-12', '137.534424'], ['2015-10-12', '83.103844'], ['2015-10-12', '55.270000']]","[['2016-04-12', '48.494289'], ['2016-04-12', '79.139999'], ['2016-04-12', '35.980587'], ['2016-04-12', '135.744232'], ['2016-04-12', '79.096207'], ['2016-04-12', '33.820000']]","[['2015-11-13', '40.360119'], ['2015-11-13', '82.709999'], ['2015-11-13', '29.282639'], ['2015-11-13', '131.497742'], ['2015-11-13', '76.654770'], ['2015-11-13', '74.610001']]","[['2015-10-20', '41.281750'], ['2015-10-20', '89.220001'], ['2015-10-20', '30.587709'], ['2015-10-20', '142.131897'], ['2015-10-20', '85.542686'], ['2015-10-20', '65.379997']]"
280,"['BP', 'CXO', 'XEC', 'NXPI', 'CLNE']","['AXTA', 'NVDA', 'CRM', 'AGIO']",20151009,Buy Salesforce With A 3-5 Year View - Cramer's Lightning Round (10/8/15),20160409,"[['2015-10-09', '27.080000'], ['2015-10-09', '25.642063'], ['2015-10-09', '75.250000'], ['2015-10-09', '72.169998']]","[['2016-04-08', '28.799999'], ['2016-04-08', '35.336105'], ['2016-04-08', '74.849998'], ['2016-04-08', '47.400002']]","[['2015-11-12', '27.580000'], ['2015-11-12', '29.900984'], ['2015-11-12', '78.300003'], ['2015-11-12', '63.830002']]","[['2015-10-19', '29.280001'], ['2015-10-19', '27.353500'], ['2015-10-19', '77.930000'], ['2015-10-19', '68.190002']]"
281,[],"['UNP', 'BEAT', 'GILD', 'MLM', 'CAT', 'URI', 'FGP', 'RTN']",20151008,Defense Stocks Are In A Secular Bull Market - Cramer's Lightning Round (10/7/15),20160408,"[['2015-10-08', '92.426201'], ['2015-10-08', '12.020000'], ['2015-10-08', '95.980011'], ['2015-10-08', '160.257309'], ['2015-10-08', '66.624908'], ['2015-10-08', '70.529999'], ['2015-10-08', '17.548151'], ['2015-10-08', '107.082520']]","[['2016-04-08', '76.415024'], ['2016-04-08', '11.210000'], ['2016-04-08', '92.323959'], ['2016-04-08', '164.190048'], ['2016-04-08', '70.596245'], ['2016-04-08', '59.500000'], ['2016-04-08', '15.757473'], ['2016-04-08', '122.643318']]","[['2015-11-11', '80.350304'], ['2015-11-11', '13.620000'], ['2015-11-11', '102.054352'], ['2015-11-11', '153.131927'], ['2015-11-11', '67.435120'], ['2015-11-11', '76.989998'], ['2015-11-11', '16.961815'], ['2015-11-11', '113.489243']]","[['2015-10-16', '88.512001'], ['2015-10-16', '12.850000'], ['2015-10-16', '97.903236'], ['2015-10-16', '148.837006'], ['2015-10-16', '64.621712'], ['2015-10-16', '66.889999'], ['2015-10-16', '17.271736'], ['2015-10-16', '106.746834']]"
282,"['TDOC', 'RIG', 'SLB']","['STX', 'CVS', 'CNP', 'BX']",20151007,Sell Linn Energy - Cramer's Lightning Round (10/6/15),20160407,"[['2015-10-07', '40.751896'], ['2015-10-07', '97.026810'], ['2015-10-07', '16.935833'], ['2015-10-07', '30.254351']]","[['2016-04-07', '29.563274'], ['2016-04-07', '97.725449'], ['2016-04-07', '19.448606'], ['2016-04-07', '24.361965']]","[['2015-11-10', '31.987326'], ['2015-11-10', '94.300667'], ['2015-11-10', '15.847128'], ['2015-11-10', '28.534113']]","[['2015-10-15', '35.710690'], ['2015-10-15', '98.371597'], ['2015-10-15', '17.017912'], ['2015-10-15', '29.687628']]"
283,"['QRVO', 'SWKS', 'APOG', 'PPG', 'NYMT', 'NRG']","['KMI', 'ILMN', 'INO']",20151001,Rich Kinder Is Money - Cramer's Lightning Round (9/30/15),20160401,"[['2015-10-01', '26.381529'], ['2015-10-01', '157.210007'], ['2015-10-01', '5.680000']]","[['2016-04-01', '16.684788'], ['2016-04-01', '166.860001'], ['2016-04-01', '9.250000']]","[['2015-11-04', '25.614498'], ['2015-11-04', '159.059998'], ['2015-11-04', '6.580000']]","[['2015-10-09', '30.339228'], ['2015-10-09', '147.770004'], ['2015-10-09', '6.160000']]"
284,"['EEP', 'X', 'NUE', 'TBI', 'AVP']","['RAD', 'IEP', 'HPQ']",20150930,Hewlett-Packard's Parts Are Worth More Than The Whole - Cramer's Lightning Round (9/29/15),20160330,"[['2015-09-30', '6.070000'], ['2015-09-30', '54.248581'], ['2015-09-30', '10.844963']]","[['2016-03-30', '8.110000'], ['2016-03-30', '52.745476'], ['2016-03-30', '11.715964']]","[['2015-11-03', '7.890000'], ['2015-11-03', '64.188515'], ['2015-11-03', '13.325026']]","[['2015-10-08', '6.250000'], ['2015-10-08', '62.666756'], ['2015-10-08', '12.356737']]"
285,"['SXC', 'ETP', 'SLCA', 'SLB', 'PTCT', 'CELG', 'GERN', 'REGN']","['POM', 'D', 'ETN']",20150918,Energy Transfer Partners Is Down On Its Luck - Cramer's Lightning Round (9/17/15),20160318,"[['2015-09-18', '63.922153'], ['2015-09-18', '49.293705']]","[['2016-03-18', '69.393539'], ['2016-03-18', '60.281113']]","[['2015-10-22', '69.008133'], ['2015-10-22', '50.616146']]","[['2015-09-28', '64.320511'], ['2015-09-28', '46.611565']]"
286,"['HSBC', 'WFC', 'KR']","['VRX', 'LCI', 'SBUX']",20150917,Starbucks Is A Buy - Cramer's Lightning Round (9/16/15),20160317,"[['2015-09-17', '241.009995'], ['2015-09-17', '57.820000'], ['2015-09-17', '55.520618']]","[['2016-03-17', '29.690001'], ['2016-03-17', '18.320000'], ['2016-03-17', '58.097031']]","[['2015-10-21', '118.610001'], ['2015-10-21', '41.150002'], ['2015-10-21', '58.670799']]","[['2015-09-25', '199.470001'], ['2015-09-25', '49.490002'], ['2015-09-25', '56.208824']]"
287,"['PSA', 'VTR']","['BOX', 'EXEL', 'BMY']",20150916,Taser's Core Business Is Good - Cramer's Lightning Round (9/15/15),20160316,"[['2015-09-16', '12.940000'], ['2015-09-16', '6.210000'], ['2015-09-16', '58.213680']]","[['2016-03-16', '12.270000'], ['2016-03-16', '3.690000'], ['2016-03-16', '59.887047']]","[['2015-10-20', '13.430000'], ['2015-10-20', '5.520000'], ['2015-10-20', '60.749287']]","[['2015-09-24', '12.940000'], ['2015-09-24', '6.200000'], ['2015-09-24', '58.393208']]"
288,['UTX'],['TSLA'],20150903,Buy Tesla's Stock If You Like The Car - Cramer's Lightning Round (9/2/15),20160303,"[['2015-09-03', '245.570007']]","[['2016-03-03', '195.740005']]","[['2015-10-08', '226.720001']]","[['2015-09-14', '253.190002']]"
289,['MNK'],"['EMR', 'FTK', 'NE', 'UA', 'NKE', 'LULU', 'DIS']",20150901,Take A Long-Term View On Disney - Cramer's Lightning Round (8/31/15),20160301,"[['2015-09-01', '43.098591'], ['2015-09-01', '19.190001'], ['2015-09-01', '12.246416'], ['2015-09-01', '93.160004'], ['2015-09-01', '52.880230'], ['2015-09-01', '63.070000'], ['2015-09-01', '96.693062']]","[['2016-03-01', '47.487934'], ['2016-03-01', '6.950000'], ['2016-03-01', '8.213785'], ['2016-03-01', '84.930000'], ['2016-03-01', '61.562126'], ['2016-03-01', '62.740002'], ['2016-03-01', '95.493950']]","[['2015-10-06', '43.033394'], ['2015-10-06', '19.450001'], ['2015-10-06', '12.506774'], ['2015-10-06', '99.860001'], ['2015-10-06', '60.119991'], ['2015-10-06', '51.740002'], ['2015-10-06', '100.832458']]","[['2015-09-10', '43.191738'], ['2015-09-10', '19.860001'], ['2015-09-10', '11.590702'], ['2015-09-10', '96.169998'], ['2015-09-10', '53.868362'], ['2015-09-10', '53.540001'], ['2015-09-10', '99.695572']]"
290,"['GRPN', 'BBBY', 'TJX']","['BABY', 'ARRY', 'EOG', 'WPZ', 'MSI']",20150831,Sell SunEdison Into Strength - Cramer's Lightning Round (8/28/15),20160229,"[['2015-08-31', '40.680000'], ['2015-08-31', '5.900000'], ['2015-08-31', '76.955978'], ['2015-08-31', '32.743641'], ['2015-08-31', '61.630444']]","[['2016-02-29', '36.320000'], ['2016-02-29', '2.510000'], ['2016-02-29', '63.916843'], ['2016-02-29', '17.354048'], ['2016-02-29', '70.636871']]","[['2015-10-05', '39.750000'], ['2015-10-05', '5.070000'], ['2015-10-05', '79.255516'], ['2015-10-05', '29.571983'], ['2015-10-05', '66.645836']]","[['2015-09-09', '39.590000'], ['2015-09-09', '5.720000'], ['2015-09-09', '75.599838'], ['2015-09-09', '33.442059'], ['2015-09-09', '64.939217']]"
291,"['CNQ', 'LCI', 'W', 'IBM', 'T', 'VZ', 'Z', 'JNJ']",['BOX'],20150826,Oil & Gas Sector Is Toxic - Cramer's Lightning Round (8/25/15),20160226,"[['2015-08-26', '13.250000']]","[['2016-02-26', '11.890000']]","[['2015-09-30', '12.580000']]","[['2015-09-03', '12.990000']]"
292,"['SGYP', 'CLC', 'BA']","['STZ.B', 'SYY', 'STZ', 'IEP']",20150825,Constellation Brands Is In An Uptrend - Cramer's Lightning Round (8/24/15),20160225,"[['2015-08-25', '37.249660'], ['2015-08-25', '117.610863'], ['2015-08-25', '55.244194']]","[['2016-02-25', '42.207111'], ['2016-02-25', '141.395142'], ['2016-02-25', '42.805229']]","[['2015-09-29', '37.144703'], ['2015-09-29', '121.031090'], ['2015-09-29', '53.592937']]","[['2015-09-02', '37.946186'], ['2015-09-02', '126.421135'], ['2015-09-02', '55.980793']]"
293,"['WTW', 'UA', 'MXL', 'SWKS', 'LOCO', 'RMD']","['CSCO', 'CY', 'ILMN', 'TSCO', 'TMO', 'FOLD', 'INFN']",20150820,Market Has Been Irrational About Semiconductors - Cramer's Lightning Round (8/19/15),20160220,"[['2015-08-20', '25.027948'], ['2015-08-20', '8.623507'], ['2015-08-20', '200.429993'], ['2015-08-20', '87.293015'], ['2015-08-20', '131.145493'], ['2015-08-20', '15.060000'], ['2015-08-20', '21.530001']]","[['2016-02-19', '24.965622'], ['2016-02-19', '6.937380'], ['2016-02-19', '151.309998'], ['2016-02-19', '82.768463'], ['2016-02-19', '129.287415'], ['2016-02-19', '6.770000'], ['2016-02-19', '15.130000']]","[['2015-09-24', '23.519234'], ['2015-09-24', '8.105910'], ['2015-09-24', '188.279999'], ['2015-09-24', '80.184929'], ['2015-09-24', '123.031998'], ['2015-09-24', '15.370000'], ['2015-09-24', '20.540001']]","[['2015-08-28', '24.065332'], ['2015-08-28', '9.217287'], ['2015-08-28', '201.699997'], ['2015-08-28', '83.145020'], ['2015-08-28', '125.378014'], ['2015-08-28', '14.870000'], ['2015-08-28', '22.290001']]"
294,"['FRSH', 'DPZ', 'PLNT']","['AMGN', 'GD', 'AFFX']",20150819,Run Is Over For Papa Murphy's - Cramer's Lightning Round (8/18/15),20160219,"[['2015-08-19', '158.150711'], ['2015-08-19', '146.228958']]","[['2016-02-19', '144.249756'], ['2016-02-19', '130.805145']]","[['2015-09-23', '138.354538'], ['2015-09-23', '130.739685']]","[['2015-08-27', '147.849106'], ['2015-08-27', '138.972534']]"
295,"['NVGS', 'VEEV', 'CRM', 'SDRL', 'AXON', 'ENB', 'KMI']","['RRD', 'SYK', 'PNC']",20150814,R.R. Donnelley Gives You 3 Different Companies - Cramer's Lightning Round (8/13/15),20160214,"[['2015-08-14', '14.393164'], ['2015-08-14', '100.517685'], ['2015-08-14', '92.703323']]","[['2016-02-12', '11.826207'], ['2016-02-12', '95.119797'], ['2016-02-12', '77.776131']]","[['2015-09-18', '14.133100'], ['2015-09-18', '96.230835'], ['2015-09-18', '83.052078']]","[['2015-08-24', '13.586069'], ['2015-08-24', '92.729591'], ['2015-08-24', '84.381989']]"
296,"['TKR', 'NUE', 'PBR', 'SAN', 'LC']","['ADP', 'PAYX', 'IRBT', 'WFC', 'BX']",20150813,Blackstone Is A Money Maker - Cramer's Lightning Round (8/12/15),20160213,"[['2015-08-13', '78.188217'], ['2015-08-13', '45.106571'], ['2015-08-13', '31.299999'], ['2015-08-13', '53.604725'], ['2015-08-13', '33.271069']]","[['2016-02-12', '78.485580'], ['2016-02-12', '46.654247'], ['2016-02-12', '29.700001'], ['2016-02-12', '45.231743'], ['2016-02-12', '22.306143']]","[['2015-09-17', '75.799286'], ['2015-09-17', '43.757019'], ['2015-09-17', '31.340000'], ['2015-09-17', '49.194988'], ['2015-09-17', '31.161112']]","[['2015-08-21', '75.134666'], ['2015-08-21', '42.819843'], ['2015-08-21', '30.020000'], ['2015-08-21', '50.853355'], ['2015-08-21', '29.600441']]"
297,"['MPW', 'VTR', 'BIIB', 'CELG', 'VNR']","['WTR', 'RTN']",20150812,Buy Celgene - Cramer's Lightning Round (8/11/15),20160212,"[['2015-08-12', '25.127254'], ['2015-08-12', '103.576462']]","[['2016-02-12', '30.440409'], ['2016-02-12', '115.944901']]","[['2015-09-16', '24.450714'], ['2015-09-16', '101.088799']]","[['2015-08-20', '25.384531'], ['2015-08-20', '102.594742']]"
298,['JUNO'],"['CRM', 'MNST', 'CQP', 'DVAX', 'ANDE', 'LNG', 'BOX', 'VOYA']",20150807,Buy Monster Beverage - Cramer's Lightning Round (8/6/15),20160207,"[['2015-08-07', '70.410004'], ['2015-08-07', '49.723331'], ['2015-08-07', '27.024372'], ['2015-08-07', '27.049999'], ['2015-08-07', '35.067043'], ['2015-08-07', '68.449997'], ['2015-08-07', '15.530000'], ['2015-08-07', '44.995731']]","[['2016-02-05', '58.509998'], ['2016-02-05', '41.243332'], ['2016-02-05', '20.042122'], ['2016-02-05', '21.049999'], ['2016-02-05', '26.727188'], ['2016-02-05', '25.030001'], ['2016-02-05', '10.450000'], ['2016-02-05', '28.870731']]","[['2015-09-11', '70.050003'], ['2015-09-11', '44.256668'], ['2015-09-11', '24.412252'], ['2015-09-11', '31.680000'], ['2015-09-11', '33.011055'], ['2015-09-11', '52.770000'], ['2015-09-11', '13.710000'], ['2015-09-11', '42.462486']]","[['2015-08-17', '74.040001'], ['2015-08-17', '50.236668'], ['2015-08-17', '27.281155'], ['2015-08-17', '30.150000'], ['2015-08-17', '35.172722'], ['2015-08-17', '68.169998'], ['2015-08-17', '14.570000'], ['2015-08-17', '44.886013']]"
299,"['COP', 'SHLD']","['BOOT', 'CY', 'NAT']",20150806,Cypress Semiconductor Is A Buy - Cramer's Lightning Round (8/5/15),20160206,"[['2015-08-06', '26.570000'], ['2015-08-06', '10.149064'], ['2015-08-06', '12.033338']]","[['2016-02-05', '8.330000'], ['2016-02-05', '6.759738'], ['2016-02-05', '9.642606']]","[['2015-09-10', '21.580000'], ['2015-09-10', '9.189880'], ['2015-09-10', '11.984720']]","[['2015-08-14', '25.240000'], ['2015-08-14', '9.317773'], ['2015-08-14', '12.138681']]"
300,"['NTRI', 'UA', 'CNI']","['V', 'PYPL', 'MA', 'ABC', 'GWPH']",20150805,PayPal Is A Buy - Cramer's Lightning Round (8/4/15),20160205,"[['2015-08-05', '73.617134'], ['2015-08-05', '39.270000'], ['2015-08-05', '96.597595'], ['2015-08-05', '103.460945'], ['2015-08-05', '114.260002']]","[['2016-02-05', '70.481186'], ['2016-02-05', '35.070000'], ['2016-02-05', '81.653717'], ['2016-02-05', '82.219810'], ['2016-02-05', '44.720001']]","[['2015-09-09', '68.446877'], ['2015-09-09', '34.369999'], ['2015-09-09', '88.438873'], ['2015-09-09', '97.461357'], ['2015-09-09', '103.839996']]","[['2015-08-13', '72.705132'], ['2015-08-13', '37.619999'], ['2015-08-13', '95.575310'], ['2015-08-13', '100.489174'], ['2015-08-13', '112.180000']]"
301,"['GRMN', 'FIT', 'TAL']","['TXRH', 'KMI', 'AA', 'DENN']",20150731,Kinder Morgan Is A Buy - Cramer's Lightning Round (7/30/15),20160131,"[['2015-07-31', '37.846943'], ['2015-07-31', '32.486885'], ['2015-07-31', '23.240076'], ['2015-07-31', '11.760000']]","[['2016-01-29', '35.722649'], ['2016-01-29', '15.855850'], ['2016-01-29', '17.273497'], ['2016-01-29', '9.370000']]","[['2015-09-03', '35.214279'], ['2015-09-03', '29.148169'], ['2015-09-03', '22.603384'], ['2015-09-03', '11.180000']]","[['2015-08-10', '36.790035'], ['2015-08-10', '30.479904'], ['2015-08-10', '23.807953'], ['2015-08-10', '12.070000']]"
302,"['P', 'S']","['EEP', 'AYR', 'TE', 'KPTI']",20150730,Oil & Gas Group Will Bounce Back - Cramer's Lightning Round (7/29/15),20160130,"[['2015-07-30', '26.227482'], ['2015-07-30', '20.496336'], ['2015-07-30', '20.080000']]","[['2016-01-29', '15.193592'], ['2016-01-29', '15.839478'], ['2016-01-29', '6.220000']]","[['2015-09-02', '22.056770'], ['2015-09-02', '18.817999'], ['2015-09-02', '14.630000']]","[['2015-08-07', '22.595137'], ['2015-08-07', '21.082462'], ['2015-08-07', '22.049999']]"
303,"['SFL', 'NAT', 'KODK']","['CLR', 'ENB', 'CMG', 'HABT', 'JACK']",20150729,Eastman Kodak Is Not Good Enough - Cramer's Lightning Round (7/28/15),20160129,"[['2015-07-29', '35.110001'], ['2015-07-29', '39.066067'], ['2015-07-29', '738.419983'], ['2015-07-29', '28.889999'], ['2015-07-29', '90.293861']]","[['2016-01-29', '21.110001'], ['2016-01-29', '32.099422'], ['2016-01-29', '452.970001'], ['2016-01-29', '20.530001'], ['2016-01-29', '75.537094']]","[['2015-09-01', '29.940001'], ['2015-09-01', '36.690495'], ['2015-09-01', '706.710022'], ['2015-09-01', '25.230000'], ['2015-09-01', '74.636391']]","[['2015-08-06', '34.610001'], ['2015-08-06', '39.330406'], ['2015-08-06', '749.599976'], ['2015-08-06', '25.030001'], ['2015-08-06', '87.976402']]"
304,"['COP', 'ISIS', 'BIIB', 'MDSO', 'MMM']",['CERS'],20150728,Buy ConocoPhillips When Oil Is At $43 - Cramer's Lightning Round (7/27/15),20160128,"[['2015-07-28', '5.400000']]","[['2016-01-28', '5.260000']]","[['2015-08-31', '4.960000']]","[['2015-08-05', '5.130000']]"
305,"['URI', 'JCP', 'TGT', 'AMZN', 'COST', 'ULTA', 'JWN', 'OVAS', 'CBS', 'CBS.A', 'NFLX', 'TNK', 'NAT']",['D'],20150724,J.C. Penney Is Not The Best Retail Stock - Cramer's Lightning Round (7/23/15),20160124,"[['2015-07-24', '62.956039']]","[['2016-01-22', '65.238907']]","[['2015-08-27', '65.969521']]","[['2015-08-03', '65.828949']]"
