,bearish,bullish,date,title,yqdopen,yqdclose7d,yqdclose30d,yqdclose6m,dayreturn7d,dayreturn30d,dayreturn6m,indreturn7d,indreturn30d,indreturn6m,enddate
10,"['MAT', 'HAS', 'MZOR', 'CARA']","['GOOS', 'RTN']",7/11/17,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),"[['2017-07-11', '19.049999'], ['2017-07-11', '165.841873']]","[['2017-07-19', '19.450001'], ['2017-07-19', '168.261536']]","[['2017-08-14', '19.110001'], ['2017-08-14', '179.573242']]","[['2017-10-20', '20.780001'], ['2017-10-20', '188.550003']]",0.015250346,0.074591548,0.132175264,"[0.02099748141719066, 0.014590181334963663]","[0.0031497114514284635, 0.08279796140507893]","[0.09081375804796625, 0.13692639614604457]",1/11/18
11,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['NVCR', 'NEE', 'IDXX', 'AVAV', 'PETS', 'GD', 'PTLA']",7/10/17,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),"[['2017-07-10', '18.100000'], ['2017-07-10', '140.110931'], ['2017-07-10', '161.509995'], ['2017-07-10', '39.380001'], ['2017-07-10', '40.341522'], ['2017-07-10', '200.270676'], ['2017-07-10', '59.630001']]","[['2017-07-18', '18.750000'], ['2017-07-18', '140.567947'], ['2017-07-18', '165.529999'], ['2017-07-18', '38.450001'], ['2017-07-18', '39.943188'], ['2017-07-18', '200.619278'], ['2017-07-18', '64.930000']]","[['2017-08-11', '18.299999'], ['2017-08-11', '146.220840'], ['2017-08-11', '153.020004'], ['2017-08-11', '38.310001'], ['2017-08-11', '47.759998'], ['2017-08-11', '197.103302'], ['2017-08-11', '55.680000']]","[['2017-10-20', '18.200001'], ['2017-10-20', '153.520004'], ['2017-10-20', '164.490005'], ['2017-10-20', '52.610001'], ['2017-10-20', '37.020000'], ['2017-10-20', '213.369995'], ['2017-10-20', '50.480000']]",0.014328332,-0.004472606,0.046025929,"[0.03591160220994467, 0.003261815453927789, 0.024890125221042822, -0.023616048156017054, -0.009874044910848888, 0.001740654233373635, 0.08888141725840332]","[0.011049668508287196, 0.04360765399524764, -0.05256635046023005, -0.027171152179503506, 0.18389182242553975, -0.01581546566507817, -0.06624184024414154]","[0.005524917127071762, 0.09570326101109132, 0.01845093240204727, 0.33595733021946844, -0.08233506906358155, 0.06540807302213321, -0.15344626608340997]",1/10/18
12,"['HAL', 'SJM', 'CBI']","['IIVI', 'PEP', 'T']",7/7/17,PepsiCo Is A Buy - Cramer's Lightning Round (7/6/17),"[['2017-07-07', '35.450001'], ['2017-07-07', '114.707298'], ['2017-07-07', '36.521378']]","[['2017-07-17', '37.299999'], ['2017-07-17', '114.131325'], ['2017-07-17', '35.938694']]","[['2017-08-10', '35.750000'], ['2017-08-10', '115.571243'], ['2017-08-10', '37.716370']]","[['2017-10-20', '42.950001'], ['2017-10-20', '111.591599'], ['2017-10-20', '35.463902']]",0.003703374,0.012636344,0.01782113,"[0.052186119825497305, -0.005021241107082746, -0.015954600617753265]","[0.008462594965794209, 0.007531735251927921, 0.032720342589482775]","[0.21156557936345333, -0.02716216887961211, -0.02895498630966228]",1/7/18
13,"['LOW', 'HD', 'EXEL']","['PH', 'SNV']",7/6/17,Parker-Hannifin Can Reach $200 - Cramer's Lightning Round (7/5/17),"[['2017-07-06', '158.782074'], ['2017-07-06', '44.526142']]","[['2017-07-14', '164.368576'], ['2017-07-14', '44.306900']]","[['2017-08-09', '160.345505'], ['2017-08-09', '43.230621']]","[['2017-10-20', '184.414993'], ['2017-10-20', '47.209999']]",0.026399622,0.001317753,0.139280038,"[0.035183455280978354, -0.004923893922810588]","[0.00984639487704392, -0.029095738858309367]","[0.16143458990213225, 0.06027598348853137]",1/6/18
14,"['AAOI', 'AVGO', 'MOS', 'AGCO', 'FPI', 'FEYE', 'PFPT', 'BGS', 'MDLZ']","['KEY', 'ULTA', 'RAI', 'NTNX']",6/26/17,Nutanix Is Undervalued - Cramer's Lightning Round (6/23/17),"[['2017-06-26', '18.022417'], ['2017-06-26', '289.720001'], ['2017-06-26', '19.750000']]","[['2017-07-05', '19.096600'], ['2017-07-05', '279.040009'], ['2017-07-05', '19.500000']]","[['2017-07-31', '17.942846'], ['2017-07-31', '251.210007'], ['2017-07-31', '21.245001']]","[['2017-10-20', '18.430000'], ['2017-10-20', '204.660004'], ['2017-10-20', '26.549900']]",-0.03009477,-0.113268467,-0.237723104,"[0.05960260491142769, -0.03686315050095566, -0.012658227848101266]","[-0.004415112578962155, -0.13292142022324524, 0.07569625316455689]","[0.022615335112931796, -0.29359380334946233, 0.34429873417721524]",12/26/17
15,"['X', 'NUE', 'CRC', 'VRX']","['NYCB', 'AVID', 'C', 'ALXN', 'IDXX', 'ZTS', 'INCY', 'MAT', 'ABBV', 'HAS']",6/23/17,Buy Hasbro At $110 - Cramer's Lightning Round (6/22/17),"[['2017-06-23', '12.535817'], ['2017-06-23', '5.050000'], ['2017-06-23', '63.117702'], ['2017-06-23', '126.070000'], ['2017-06-23', '167.350006'], ['2017-06-23', '62.779999'], ['2017-06-23', '136.279999'], ['2017-06-23', '20.495577'], ['2017-06-23', '71.494118'], ['2017-06-23', '111.311836']]","[['2017-07-03', '13.236638'], ['2017-07-03', '5.270000'], ['2017-07-03', '67.945351'], ['2017-07-03', '121.080002'], ['2017-07-03', '159.320007'], ['2017-07-03', '62.669998'], ['2017-07-03', '125.870003'], ['2017-07-03', '20.802813'], ['2017-07-03', '71.277588'], ['2017-07-03', '110.148079']]","[['2017-07-28', '12.762844'], ['2017-07-28', '5.190000'], ['2017-07-28', '67.119171'], ['2017-07-28', '137.990005'], ['2017-07-28', '167.520004'], ['2017-07-28', '62.209999'], ['2017-07-28', '135.740005'], ['2017-07-28', '19.464851'], ['2017-07-28', '69.952003'], ['2017-07-28', '105.739998']]","[['2017-10-20', '12.845000'], ['2017-10-20', '4.600000'], ['2017-10-20', '73.584999'], ['2017-10-20', '139.205002'], ['2017-10-20', '164.490005'], ['2017-10-20', '65.864998'], ['2017-10-20', '114.000000'], ['2017-10-20', '15.990000'], ['2017-10-20', '95.760002'], ['2017-10-20', '97.639999']]",-0.024294833,0.009277482,0.009652409,"[0.05590549064333018, 0.04356435643564352, 0.07648645066323867, -0.03958116919171889, -0.04798326090290073, -0.001752166322907984, -0.07638682181088075, 0.014990356211976839, -0.003028640761747783, -0.010454925925397582]","[0.018110267563733552, 0.027722772277227838, 0.06339693735998173, 0.094550686126755, 0.001015823088766382, -0.009079324770298151, -0.003962386292650378, -0.05029016748345271, -0.021569816414827237, -0.050056114427939176]","[0.024663968850215417, -0.08910891089108915, 0.16583773914962865, 0.10418816530498941, -0.017089936644519816, 0.049139838310605956, -0.16348693251751495, -0.21983167392652572, 0.33941091489512465, -0.12282464732681254]",12/23/17
16,"['SFS', 'AMZN', 'SEMG']","['AKS', 'CARA', 'NUE']",6/21/17,Smart & Final Cannot Compete With Amazon - Cramer's Lightning Round (6/20/17),"[['2017-06-21', '6.190000'], ['2017-06-21', '19.500000'], ['2017-06-21', '55.220001']]","[['2017-06-29', '6.750000'], ['2017-06-29', '25.510000'], ['2017-06-29', '57.774597']]","[['2017-07-26', '6.240000'], ['2017-07-26', '14.580000'], ['2017-07-26', '57.724937']]","[['2017-10-20', '6.170000'], ['2017-10-20', '12.336800'], ['2017-10-20', '60.029999']]",0.112774637,-0.029230799,-0.02933138,"[0.0904684975767366, 0.3082051282051283, 0.04626215055664335]","[0.008077544426494316, -0.2523076923076923, 0.045362838729394325]","[-0.0032310177705978126, -0.3673435897435897, 0.08710608317446414]",12/21/17
17,"['MRO', 'MPC']","['HOME', 'UCTT', 'GOOS', 'T']",6/20/17,AT&T Has Growth And Dividend - Cramer's Lightning Round (6/19/17),"[['2017-06-20', '22.530001'], ['2017-06-20', '20.309999'], ['2017-06-20', '20.879999'], ['2017-06-20', '37.689762']]","[['2017-06-28', '22.870001'], ['2017-06-28', '19.559999'], ['2017-06-28', '20.750000'], ['2017-06-28', '36.987831']]","[['2017-07-25', '23.020000'], ['2017-07-25', '24.020000'], ['2017-07-25', '19.680000'], ['2017-07-25', '35.770802']]","[['2017-10-20', '21.930000'], ['2017-10-20', '32.820000'], ['2017-10-20', '20.780001'], ['2017-10-20', '35.459999']]",-0.012246651,0.010660128,0.094470581,"[0.015090989121571715, -0.036927623679351235, -0.0062260060453068755, -0.018623917020224267]","[0.02174873405465011, 0.18266869437068894, -0.05747121922754889, -0.050914622384720776]","[-0.026631201658623937, 0.6159528122084101, -0.004789176474577557, -0.059160973210709004]",12/20/17
18,['SWIR'],"['CMCSA', 'SGYP', 'BX', 'CMG']",6/19/17,Chipotle Is A Buy - Cramer's Lightning Round (6/16/17),"[['2017-06-19', '41.456860'], ['2017-06-19', '4.130000'], ['2017-06-19', '32.552231'], ['2017-06-19', '458.910004']]","[['2017-06-27', '38.927792'], ['2017-06-27', '4.390000'], ['2017-06-27', '32.434113'], ['2017-06-27', '413.980011']]","[['2017-07-24', '39.305759'], ['2017-07-24', '4.280000'], ['2017-07-24', '33.812191'], ['2017-07-24', '339.980011']]","[['2017-10-20', '37.142502'], ['2017-10-20', '2.785000'], ['2017-10-20', '34.599998'], ['2017-10-20', '325.244995']]",-0.088105872,-0.222830902,-0.255612757,"[-0.06100481319617555, 0.06295399515738494, -0.0036285684996520055, -0.09790589136949829]","[-0.05188769723514992, 0.03631961259079912, 0.038705795618125205, -0.25915755150981634]","[-0.10406861494092892, -0.3256658595641646, 0.0629071168731876, -0.2912662784313588]",12/19/17
19,"['KORS', 'GT', 'CEQP', 'RIG', 'DDD', 'HPQ', 'FDX', 'MU', 'WDC', 'TOSBF']","['XPO', 'SIRI', 'CLDR', 'P', 'VMW']",6/16/17,Michael Kors Is A Loser - Cramer's Lightning Round (6/15/17),"[['2017-06-16', '61.520000'], ['2017-06-16', '5.170750'], ['2017-06-16', '17.400000'], ['2017-06-16', '6.990000'], ['2017-06-16', '88.099998']]","[['2017-06-26', '61.160000'], ['2017-06-26', '5.290536'], ['2017-06-26', '16.230000'], ['2017-06-26', '8.460000'], ['2017-06-26', '90.660004']]","[['2017-07-21', '60.669998'], ['2017-07-21', '5.460232'], ['2017-07-21', '18.250000'], ['2017-07-21', '9.470000'], ['2017-07-21', '92.269997']]","[['2017-10-20', '67.320000'], ['2017-10-20', '5.760000'], ['2017-10-20', '16.250000'], ['2017-10-20', '7.470000'], ['2017-10-20', '118.279999']]",0.014620946,0.038728932,0.200352166,"[-0.0058517555266581036, 0.02316607842189245, -0.06724137931034473, 0.21030042918454944, 0.029057957526854895]","[-0.01381667750325103, 0.05598452835662147, 0.048850574712643764, 0.3547925608011445, 0.047332566341261484]","[0.09427828348504534, 0.11395832326064881, -0.06609195402298843, 0.06866952789699564, 0.34256528586981355]",12/16/17
