,bearish,bullish,date,title,yqdopen,yqdclose7d,yqdclose30d,yqdclose6m,dayreturn7d,dayreturn30d,dayreturn6m,indreturn7d,indreturn30d,indreturn6m,enddate
202,"['LNG', 'VEEV', 'CRM', 'MYL', 'AGN']","['SWKS', 'EW', 'IBM', 'INTC', 'MDT', 'F', 'GWW']",3/11/16,IBM Is A Tepid Buy - Cramer's Lightning Round (3/10/16),"[['2016-03-11', '71.262543'], ['2016-03-11', '87.629997'], ['2016-03-11', '134.695511'], ['2016-03-11', '30.341257'], ['2016-03-11', '74.511597'], ['2016-03-11', '12.312572'], ['2016-03-11', '209.590897']]","[['2016-03-21', '75.610565'], ['2016-03-21', '85.639999'], ['2016-03-21', '140.627930'], ['2016-03-21', '30.895348'], ['2016-03-21', '72.450127'], ['2016-03-21', '12.655359'], ['2016-03-21', '219.411102']]","[['2016-04-15', '73.505096'], ['2016-04-15', '106.550003'], ['2016-04-15', '143.551575'], ['2016-04-15', '30.054659'], ['2016-04-15', '74.647926'], ['2016-04-15', '11.988313'], ['2016-04-15', '226.742493']]","[['2016-09-09', '65.918449'], ['2016-09-09', '114.599998'], ['2016-09-09', '150.013962'], ['2016-09-09', '34.408176'], ['2016-09-09', '82.578728'], ['2016-09-09', '11.723148'], ['2016-09-09', '216.954483']]",0.027317175,0.07527382,0.090034781,"[0.06101412911969758, -0.02270909583621234, 0.04404318270116649, 0.018261965877023476, -0.027666431575745182, 0.02784040572514023, 0.04685415798377916]","[0.03146888822084277, 0.21590786999570477, 0.0657487687173183, -0.009445818279710624, 0.0018296346540526234, -0.026335602342061403, 0.08183368765295175]","[-0.07499162638638926, 0.30777133314291905, 0.1137265146126509, 0.1340392390466881, 0.10826678429667806, -0.047871720059789236, 0.03513313843969091]",9/11/16
203,"['ATI', 'NUE', 'AA', 'APA', 'OXY', 'XOM', 'CVX', 'SLB', 'TWO', 'FTR', 'VZ']","['CAKE', 'BX']",3/10/16,Buy Verizon - Cramer's Lightning Round (3/9/16),"[['2016-03-10', '51.438972'], ['2016-03-10', '24.787621']]","[['2016-03-18', '51.954437'], ['2016-03-18', '25.349125']]","[['2016-04-14', '49.532749'], ['2016-04-14', '26.272886']]","[['2016-09-09', '48.885685'], ['2016-09-09', '24.250666']]",0.014128521,-0.005522456,-0.040540209,"[0.010020903994737667, 0.022652597439665523]","[-0.03705795286888698, 0.05991962681695021]","[-0.049637208924004105, -0.021662224059340044]",9/10/16
204,"['XPO', 'GWPH', 'CELG', 'GILD', 'REGN', 'TDW', 'FOLD', 'STWD', 'MAIN']","['FIT', 'BMY']",3/8/16,Bristol-Myers Squibb Is A Buy At $66 - Cramer's Lightning Round (3/7/16),"[['2016-03-08', '13.050000'], ['2016-03-08', '63.347950']]","[['2016-03-16', '14.320000'], ['2016-03-16', '59.887047']]","[['2016-04-12', '15.150000'], ['2016-04-12', '64.283005']]","[['2016-09-08', '14.720000'], ['2016-09-08', '54.926567']]",-0.02867751,0.039726917,-0.088371259,"[0.09731800766283522, -0.05463322806815366]","[0.16091954022988503, 0.0147606197201331]","[0.1279693486590038, -0.13293852445106746]",9/8/16
205,"['CNX', 'FTR', 'CTL', 'VZ', 'T', 'PXD']","['AAL', 'PYPL', 'LUV', 'DAL', 'SAVE', 'SCI']",3/2/16,Soar Higher With Airlines - Cramer's Lightning Round (3/1/16),"[['2016-03-02', '40.979172'], ['2016-03-02', '39.160000'], ['2016-03-02', '41.382050'], ['2016-03-02', '47.218132'], ['2016-03-02', '49.919998'], ['2016-03-02', '23.357391']]","[['2016-03-10', '41.018581'], ['2016-03-10', '38.490002'], ['2016-03-10', '41.697796'], ['2016-03-10', '45.710655'], ['2016-03-10', '47.970001'], ['2016-03-10', '22.931658']]","[['2016-04-06', '38.328674'], ['2016-04-06', '39.160000'], ['2016-04-06', '43.089031'], ['2016-04-06', '45.905170'], ['2016-04-06', '46.259998'], ['2016-04-06', '23.991686']]","[['2016-09-02', '36.205582'], ['2016-09-02', '37.070000'], ['2016-09-02', '36.585957'], ['2016-09-02', '36.466042'], ['2016-09-02', '39.810001'], ['2016-09-02', '26.307671']]",-0.017346114,-0.021825697,-0.122187786,"[0.0009616836572490811, -0.01710924412665985, 0.007630023162216401, -0.0319258076537207, -0.03906244146884774, -0.01822690727744383]","[-0.06467914969096981, 0.0, 0.041249309785281275, -0.027806309660873475, -0.07331731062969987, 0.027156072354142705]","[-0.11648820039604507, -0.05337078651685384, -0.11589790742604582, -0.22771104117375918, -0.20252398647932637, 0.12631034005467473]",9/2/16
206,"['BBBY', 'TJX', 'CG', 'USG', 'OC', 'HD']",['ETSY'],3/1/16,Blackstone Is Better Than Carlyle Group - Cramer's Lightning Round (2/29/16),"[['2016-03-01', '8.360000']]","[['2016-03-09', '8.740000']]","[['2016-04-05', '8.320000']]","[['2016-09-01', '13.780000']]",0.045454545,-0.004784689,0.648325359,[0.04545454545454555],[-0.004784688995215209],[0.6483253588516746],9/1/16
207,"['ASNA', 'TJX', 'EEP', 'BBT', 'COP']","['ULTA', 'CB', 'MO']",2/29/16,TJX Companies Is Cheap And Holds Value - Cramer's Lightning Round (2/26/16),"[['2016-02-29', '165.190002'], ['2016-02-29', '111.333870'], ['2016-02-29', '57.818943']]","[['2016-03-08', '162.960007'], ['2016-03-08', '112.056625'], ['2016-03-08', '58.504471']]","[['2016-04-04', '193.119995'], ['2016-04-04', '116.866859'], ['2016-04-04', '59.915146']]","[['2016-08-29', '254.089996'], ['2016-08-29', '123.857979'], ['2016-08-29', '63.174431']]",-0.002457693,0.106355463,0.319371574,"[-0.013499576082092441, 0.006491780084533056, 0.011856460260783477]","[0.169077986935311, 0.04969726642934446, 0.03625460603802465]","[0.5381681271485185, 0.11249145475675996, 0.09262514536109734]",8/29/16
208,"['MU', 'SWKS', 'FTNT', 'PANW', 'KITE', 'CELG', 'ABX', 'GOLD', 'CHS']",['LMT'],2/24/16,Lockheed Martin Is A Buy - Cramer's Lightning Round (2/23/16),"[['2016-02-24', '206.631729']]","[['2016-03-03', '210.009338']]","[['2016-03-30', '214.276443']]","[['2016-08-24', '240.096664']]",0.016346033,0.036996806,0.161954484,[0.01634603270439656],[0.03699680604230918],[0.16195448376662422],8/24/16
209,"['BA', 'POT']","['LLY', 'ABBV', 'CMG', 'SE']",2/23/16,Eli Lilly Is An Outright Buy At $72 - Cramer's Lightning Round (2/22/16),"[['2016-02-23', '70.657295'], ['2016-02-23', '51.691029'], ['2016-02-23', '525.059998']]","[['2016-03-02', '71.186234'], ['2016-03-02', '52.282375'], ['2016-03-02', '525.690002']]","[['2016-03-29', '68.955055'], ['2016-03-29', '53.549538'], ['2016-03-29', '460.000000']]","[['2016-08-23', '77.525635'], ['2016-08-23', '63.257240'], ['2016-08-23', '397.000000']]",0.002703532,-0.100251614,-0.169329685,"[0.007485978624004698, 0.011440012153753051, 0.0011998704955621074]","[-0.02409149685110367, 0.03595418849177868, -0.12390964508402706]","[0.09720638187465269, 0.22375664063487694, -0.243895932822519]",8/23/16
210,"['GWPH', 'WYNN', 'MGM']","['OI', 'UPS', 'CY', 'DG', 'DLTR', 'UNH', 'FDX', 'TWTR']",2/22/16,Twitter Needs To Get Its Mojo Back - Cramer's Lightning Round (2/19/16),"[['2016-02-22', '14.940000'], ['2016-02-22', '93.737816'], ['2016-02-22', '7.189819'], ['2016-02-22', '71.113945'], ['2016-02-22', '81.669998'], ['2016-02-22', '117.818710'], ['2016-02-22', '133.306030'], ['2016-02-22', '18.299999']]","[['2016-03-01', '14.540000'], ['2016-03-01', '94.062973'], ['2016-03-01', '7.657297'], ['2016-03-01', '73.820549'], ['2016-03-01', '82.029999'], ['2016-03-01', '118.207329'], ['2016-03-01', '139.203827'], ['2016-03-01', '17.850000']]","[['2016-03-28', '15.850000'], ['2016-03-28', '100.470276'], ['2016-03-28', '7.956484'], ['2016-03-28', '84.359055'], ['2016-03-28', '80.839996'], ['2016-03-28', '125.767876'], ['2016-03-28', '159.975204'], ['2016-03-28', '15.600000']]","[['2016-08-22', '18.180000'], ['2016-08-22', '106.587357'], ['2016-08-22', '10.765077'], ['2016-08-22', '89.228645'], ['2016-08-22', '95.760002'], ['2016-08-22', '139.247101'], ['2016-08-22', '166.011292'], ['2016-08-22', '18.549999']]",0.017275722,0.09802062,0.197468561,"[-0.026773761713520774, 0.003468792146810892, 0.06501943929325618, 0.038060101995466555, 0.0044079956999631235, 0.0032984489475398737, 0.04424253726556854, -0.024590110633339286]","[0.06091030789825972, 0.07182224087661701, 0.10663203065334464, 0.18625193694429407, -0.010162875233571175, 0.06746947068084522, 0.2000597722398604, -0.14754093702409493]","[0.2168674698795181, 0.1370795858951952, 0.4972667601228904, 0.25472781744846246, 0.17252362366900012, 0.18187596010854296, 0.24533970443797634, 0.013661202932306172]",8/22/16
211,"['HCP', 'AWK']","['OLED', 'EPD', 'AN', 'KMX', 'WWAV', 'GM', 'CG', 'F', 'BX']",2/18/16,Ford And General Motors Have Become Too Cheap To Ignore - Cramer's Lightning Round (2/17/16),"[['2016-02-18', '48.499031'], ['2016-02-18', '21.058214'], ['2016-02-18', '49.950001'], ['2016-02-18', '46.639999'], ['2016-02-18', '26.818968'], ['2016-02-18', '13.161578'], ['2016-02-18', '11.358324'], ['2016-02-18', '23.972536']]","[['2016-02-26', '43.952877'], ['2016-02-26', '21.094854'], ['2016-02-26', '51.660000'], ['2016-02-26', '47.200001'], ['2016-02-26', '27.373266'], ['2016-02-26', '13.302627'], ['2016-02-26', '11.552879'], ['2016-02-26', '23.193680']]","[['2016-03-23', '51.126808'], ['2016-03-23', '22.258139'], ['2016-03-23', '47.980000'], ['2016-03-23', '48.439999'], ['2016-03-23', '29.288071'], ['2016-03-23', '14.148915'], ['2016-03-23', '12.284779'], ['2016-03-23', '24.416304']]","[['2016-08-18', '61.178322'], ['2016-08-18', '25.464123'], ['2016-08-18', '48.770000'], ['2016-08-18', '59.150002'], ['2016-08-18', '29.888277'], ['2016-08-18', '15.104549'], ['2016-08-18', '11.675803'], ['2016-08-18', '26.242983']]",-0.008815037,0.035137958,0.149157663,"[-0.09373700682803335, 0.0017399386291734906, 0.0342342135288445, 0.012006904202549344, 0.02066813309147463, 0.010716724088859167, 0.01712884753067452, -0.03248951216508762]","[0.05418205159604105, 0.05698132804614866, -0.03943945866988078, 0.03859348281718439, 0.09206554853266527, 0.07501661274962623, 0.08156617120624493, 0.018511516678919517]","[0.2614339037000553, 0.20922519830029276, -0.02362364317069778, 0.26822476990190325, 0.11444545517187674, 0.14762447177686444, 0.02795121885940219, 0.0947103385307252]",8/18/16
212,"['WPZ', 'COP', 'XON', 'TUP']","['V', 'LUV', 'MA', 'RAD', 'DAL', 'SAVE']",2/11/16,Spirit Is Soaring - Cramer's Lightning Round (2/10/16),"[['2016-02-11', '67.595116'], ['2016-02-11', '34.807510'], ['2016-02-11', '81.012398'], ['2016-02-11', '7.750000'], ['2016-02-11', '41.397324'], ['2016-02-11', '42.650002']]","[['2016-02-22', '72.268761'], ['2016-02-22', '40.204945'], ['2016-02-22', '86.646072'], ['2016-02-22', '7.950000'], ['2016-02-22', '47.480728'], ['2016-02-22', '47.540001']]","[['2016-03-17', '72.347900'], ['2016-03-17', '43.019966'], ['2016-03-17', '90.188087'], ['2016-03-17', '7.990000'], ['2016-03-17', '47.286217'], ['2016-03-17', '47.869999']]","[['2016-08-11', '79.392654'], ['2016-08-11', '36.832928'], ['2016-08-11', '95.637749'], ['2016-08-11', '7.560000'], ['2016-08-11', '36.004944'], ['2016-08-11', '40.439999']]",0.097663339,0.121687195,0.075054495,"[0.06914175574460132, 0.15506524310414624, 0.06954088681586736, 0.02580645161290325, 0.14695162421609673, 0.11465413295877444]","[0.07031253559798598, 0.2359391981787837, 0.11326277491501968, 0.0309677419354839, 0.1422529871737604, 0.12239148312349432]","[0.17453240260731245, 0.058189109189367524, 0.18053225630970698, -0.024516129032258114, -0.13025914428671756, -0.0518171839710582]",8/11/16
213,"['AOS', 'GE', 'KKR', 'JOY', 'VLO']","['ICE', 'CELG', 'DG', 'DLTR', 'WMT', 'AGN']",2/9/16,Celgene Can Earn $7.50 Next Year - Cramer's Lightning Round (2/8/16),"[['2016-02-09', '45.634792'], ['2016-02-09', '100.500000'], ['2016-02-09', '67.928574'], ['2016-02-09', '75.239998'], ['2016-02-09', '62.669888'], ['2016-02-09', '269.915405']]","[['2016-02-18', '45.850945'], ['2016-02-18', '103.519997'], ['2016-02-18', '70.938072'], ['2016-02-18', '79.290001'], ['2016-02-18', '61.060524'], ['2016-02-18', '275.505249']]","[['2016-03-15', '45.275471'], ['2016-03-15', '97.980003'], ['2016-03-15', '83.093300'], ['2016-03-15', '81.180000'], ['2016-03-15', '65.321106'], ['2016-03-15', '280.480499']]","[['2016-08-09', '53.890846'], ['2016-08-09', '113.800003'], ['2016-08-09', '90.447182'], ['2016-08-09', '95.949997'], ['2016-08-09', '71.066032'], ['2016-08-09', '248.864517']]",0.022956088,0.050558443,0.083825166,"[0.004736583438355665, 0.030049721393034863, 0.044303859521620574, 0.05382779249940974, -0.025680020363208555, 0.020709614554974994]","[-0.007873838890292176, -0.02507459701492541, 0.22324516925675492, 0.07894739710120682, 0.04230449558167393, 0.039142241621962955]","[0.18091578022312463, 0.13233833830845776, 0.33150420616808474, 0.27525251927837635, 0.13397413443598313, -0.07799068748966001]",8/9/16
214,"['APOL', 'O']","['SIRI', 'LVS', 'MGM', 'EW']",2/5/16,Buy Edwards Lifesciences After Pullback - Cramer's Lightning Round (2/4/16),"[['2016-02-05', '3.391527'], ['2016-02-05', '38.386517'], ['2016-02-05', '17.685892'], ['2016-02-05', '82.019997']]","[['2016-02-16', '3.460945'], ['2016-02-16', '41.897816'], ['2016-02-16', '18.942102'], ['2016-02-16', '84.449997']]","[['2016-03-11', '3.877448'], ['2016-03-11', '47.164761'], ['2016-03-11', '20.584082'], ['2016-03-11', '87.629997']]","[['2016-08-05', '4.204700'], ['2016-08-05', '46.935959'], ['2016-08-05', '24.184565'], ['2016-08-05', '113.230003']]",0.051362207,0.125613945,0.332697099,"[0.0204680664491246, 0.09147219582334082, 0.07102893085630058, 0.029626921346997764]","[0.14327499088168835, 0.2286803983805043, 0.16387016272631313, 0.0683979542208469]","[0.23976604048854688, 0.2227199201219532, 0.3674495467913069, 0.3805170341569263]",8/5/16
215,"['SYY', 'MCK', 'MKC', 'ALXN', 'CELG', 'FGP', 'BP']","['DUK', 'D', 'GNRC']",2/4/16,Celgene Is Down Enough To Be Bought - Cramer's Lightning Round (2/3/16),"[['2016-02-04', '72.970970'], ['2016-02-04', '65.865479'], ['2016-02-04', '29.139999']]","[['2016-02-12', '71.545807'], ['2016-02-12', '64.472054'], ['2016-02-12', '27.910000']]","[['2016-03-10', '72.503014'], ['2016-03-10', '67.627060'], ['2016-03-10', '35.040001']]","[['2016-08-04', '80.830368'], ['2016-08-04', '72.895943'], ['2016-08-04', '35.139999']]",-0.024102111,0.042825212,0.124361851,"[-0.01953054755884426, -0.021155619319188336, -0.04220998772168796]","[-0.006412906392775113, 0.02674513306128096, 0.20247090605596785]","[0.10770581780672525, 0.10673973842959542, 0.20590254653062973]",8/4/16
216,"['RKUS', 'VZ', 'T', 'TMUS', 'STX']","['LMT', 'SKX']",2/3/16,Buy Lockheed Martin - Cramer's Lightning Round (2/2/16),"[['2016-02-03', '203.092941'], ['2016-02-03', '29.129999']]","[['2016-02-11', '197.617859'], ['2016-02-11', '28.240000']]","[['2016-03-09', '207.981522'], ['2016-03-09', '31.379999']]","[['2016-08-03', '248.544373'], ['2016-08-03', '23.520000']]",-0.027409355,0.030740206,0.171565449,"[-0.026958504677914857, -0.03055266153630843]","[0.024070659353935972, 0.07723996145691595]","[0.2237962175159993, -0.1925849362370387]",8/3/16
217,"['BDX', 'BAX', 'JD', 'CBM']","['NVAX', 'CELG', 'OPK', 'ILMN', 'TMUS']",1/29/16,Cramer Likes T-Mobile - Cramer's Lightning Round (1/28/16),"[['2016-01-29', '5.150000'], ['2016-01-29', '100.320000'], ['2016-01-29', '8.040000'], ['2016-01-29', '157.949997'], ['2016-01-29', '40.150002']]","[['2016-02-08', '4.650000'], ['2016-02-08', '99.180000'], ['2016-02-08', '7.700000'], ['2016-02-08', '135.369995'], ['2016-02-08', '33.959999']]","[['2016-03-04', '4.860000'], ['2016-03-04', '102.510002'], ['2016-03-04', '9.700000'], ['2016-03-04', '156.139999'], ['2016-03-04', '38.480000']]","[['2016-07-29', '7.320000'], ['2016-07-29', '112.190002'], ['2016-07-29', '9.950000'], ['2016-07-29', '166.350006'], ['2016-07-29', '46.340000']]",-0.09868106,0.000256738,0.098007153,"[-0.0970873786407767, -0.011363636363636229, -0.042288557213930225, -0.14295664722298163, -0.15417192258172235]","[-0.05631067961165049, 0.021830163476874075, 0.20646766169154232, -0.011459310125849559, -0.04159407015720706]","[0.4213592233009708, 0.11832139154704958, 0.23756218905472642, 0.05318144450487081, 0.15417179804872744]",7/29/16
218,"['MFRM', 'PSX', 'HOG', 'PII', 'MPC']",['SYF'],1/27/16,Don't Buy Fossil Fuel Stocks - Cramer's Lightning Round (1/26/16),"[['2016-01-27', '27.809822']]","[['2016-02-04', '25.727016']]","[['2016-03-02', '27.624029']]","[['2016-07-27', '27.516466']]",-0.074894618,-0.006680841,-0.010548647,[-0.07489461816763882],[-0.0066808410352285],[-0.010548647165019584],7/27/16
219,[],"['CVA', 'CY', 'CNQ', 'FITB']",1/26/16,Market Should 'Come To Its Senses' On Kroger - Cramer's Lightning Round (1/25/16),"[['2016-01-26', '12.214610'], ['2016-01-26', '7.647948'], ['2016-01-26', '17.939739'], ['2016-01-26', '14.574878']]","[['2016-02-03', '12.419674'], ['2016-02-03', '6.871933'], ['2016-02-03', '20.789438'], ['2016-02-03', '14.699286']]","[['2016-03-01', '12.615819'], ['2016-03-01', '7.657297'], ['2016-03-01', '20.521681'], ['2016-03-01', '15.464873']]","[['2016-07-26', '15.570601'], ['2016-07-26', '11.177277'], ['2016-07-26', '29.239756'], ['2016-07-26', '18.139238']]",0.045881741,0.074125705,0.415251433,"[0.01678841976944005, -0.10146708633479204, 0.15884840911007686, 0.008535783284086546]","[0.032846648398925524, 0.0012224193992949985, 0.14392305261520258, 0.061063632916858776]","[0.27475220248538423, 0.4614739796871003, 0.6298874805257758, 0.24455504876267223]",7/26/16
220,"['TK', 'NAT', 'RGC', 'EPR', 'VER', 'VTR']","['CSCO', 'DDD', 'MO', 'RDUS', 'REGN']",1/23/16,Nordic American Tankers Over Teekay - Cramer's Lightning Round (1/22/16),"[['2016-01-25', '21.787325'], ['2016-01-25', '6.980000'], ['2016-01-25', '54.842075'], ['2016-01-25', '34.750000'], ['2016-01-25', '473.119995']]","[['2016-02-02', '21.467613'], ['2016-02-02', '7.450000'], ['2016-02-02', '56.804741'], ['2016-02-02', '30.510000'], ['2016-02-02', '409.890015']]","[['2016-02-29', '24.617701'], ['2016-02-29', '10.670000'], ['2016-02-29', '57.818943'], ['2016-02-29', '29.299999'], ['2016-02-29', '384.019989']]","[['2016-07-22', '29.406942'], ['2016-07-22', '13.300000'], ['2016-07-22', '65.812279'], ['2016-07-22', '45.259998'], ['2016-07-22', '391.339996']]",-0.110497553,-0.143796663,-0.078380042,"[-0.014674219987997568, 0.06733524355300856, 0.035787595564172194, -0.12201438848920859, -0.13364470043165266]","[0.12990929359157222, 0.5286532951289398, 0.05428073244858069, -0.15683456115107913, -0.18832432985631903]","[0.34972705460629067, 0.9054441260744985, 0.2000326209393062, 0.30244598561151087, -0.17285255297654462]",7/23/16
221,"['FSLR', 'SM', 'UA', 'FNFG', 'TSLA']","['RAD', 'WBA', 'CMG']",1/21/16,Waiting On Chipotle's Comeback - Cramer's Lightning Round (1/20/16),"[['2016-01-21', '7.710000'], ['2016-01-21', '76.470818'], ['2016-01-21', '461.200012']]","[['2016-01-29', '7.790000'], ['2016-01-29', '77.187317'], ['2016-01-29', '452.970001']]","[['2016-02-25', '7.960000'], ['2016-02-25', '77.744049'], ['2016-02-25', '505.329987']]","[['2016-07-21', '6.860000'], ['2016-07-21', '79.841225'], ['2016-07-21', '418.070007']]",-0.013629947,0.083708857,-0.074460993,"[0.010376134889753577, 0.009369574155725638, -0.017844776205252984]","[0.0324254215304799, 0.01664989381962685, 0.09568511242796758]","[-0.1102464332036316, 0.044074420650240725, -0.09351692081048783]",7/21/16
222,"['PSXP', 'ISRG', 'NFLX']","['IP', 'BBT', 'EXEL', 'KORS']",1/20/16,Liking Exelixis And Its Pipeline - Cramer's Lightning Round (1/19/16),"[['2016-01-20', '32.913963'], ['2016-01-20', '31.175741'], ['2016-01-20', '4.500000'], ['2016-01-20', '36.490002']]","[['2016-01-28', '30.451706'], ['2016-01-28', '30.274435'], ['2016-01-28', '4.180000'], ['2016-01-28', '38.730000']]","[['2016-02-24', '32.787804'], ['2016-02-24', '30.621462'], ['2016-02-24', '3.870000'], ['2016-02-24', '55.439999']]","[['2016-07-20', '42.973915'], ['2016-07-20', '35.156513'], ['2016-07-20', '8.530000'], ['2016-07-20', '51.590000']]",-0.01373781,0.16786837,0.31567201,"[-0.07480888885972196, -0.028910491654392374, -0.07111111111111118, 0.06138662310843392]","[-0.003832993310468303, -0.01777917644363281, -0.13999999999999999, 0.5193202510649356]","[0.3056438995206987, 0.12768812776575217, 0.8955555555555554, 0.4138119257981956]",7/20/16
223,"['HA', 'DAL', 'CSIQ', 'FSLR', 'DNKN', 'SBUX', 'ATW', 'DRII', 'AIRB', 'CLDX', 'X']","['FUN', 'FDX']",1/13/16,Hotel Stocks Are Down Due To Airbnb - Cramer's Lightning Round (1/12/16),"[['2016-01-13', '45.978294'], ['2016-01-13', '128.284546']]","[['2016-01-22', '48.437027'], ['2016-01-22', '125.596550']]","[['2016-02-18', '51.114315'], ['2016-02-18', '129.308517']]","[['2016-07-13', '56.966030'], ['2016-07-13', '158.624878']]",-0.001315616,0.035348856,0.237159385,"[0.053475951065083065, -0.020953389038770205]","[0.11170534078537146, 0.007982029261731876]","[0.2389765918674583, 0.2365080825869703]",7/13/16
224,"['TSLA', 'AGU', 'POT', 'AOS']",['RRD'],1/11/16,Market Is Tough For Tesla - Cramer's Lightning Round (1/8/16),"[['2016-01-11', '11.867384']]","[['2016-01-20', '11.785415']]","[['2016-02-16', '12.253883']]","[['2016-07-11', '17.422413']]",-0.006907082,0.032568172,0.468092125,[-0.006907082470744949],[0.0325681717217544],[0.46809212544230466],7/11/16
225,"['HAL', 'X', 'VC', 'CIT']","['AIG', 'RDUS', 'SGYP']",1/8/16,Stay Away From Halliburton - Cramer's Lightning Round (1/7/16),"[['2016-01-08', '55.326599'], ['2016-01-08', '50.480000'], ['2016-01-08', '4.140000']]","[['2016-01-19', '54.084286'], ['2016-01-19', '39.060001'], ['2016-01-19', '3.740000']]","[['2016-02-12', '51.041080'], ['2016-02-12', '26.969999'], ['2016-02-12', '3.600000']]","[['2016-07-08', '51.659767'], ['2016-07-08', '41.250000'], ['2016-07-08', '4.120000']]",-0.118805967,-0.25772075,-0.117482779,"[-0.0224541725400472, -0.2262281893819334, -0.09661835748792258]","[-0.07745856563494895, -0.46572902139461164, -0.13043478260869557]","[-0.0662761143152862, -0.18284469096671943, -0.004830917874396033]",7/8/16
226,"['AWK', 'NRZ', 'CBI', 'KMI', 'TWTR']","['OLED', 'V', 'PYPL', 'MA']",1/5/16,Twitter Is Going Down - Cramer's Lightning Round (1/4/16),"[['2016-01-05', '52.725460'], ['2016-01-05', '75.141167'], ['2016-01-05', '34.310001'], ['2016-01-05', '93.532761']]","[['2016-01-13', '48.738827'], ['2016-01-13', '72.018089'], ['2016-01-13', '32.119999'], ['2016-01-13', '87.997765']]","[['2016-02-09', '42.893768'], ['2016-02-09', '67.318695'], ['2016-02-09', '32.700001'], ['2016-02-09', '80.874268']]","[['2016-07-05', '66.234055'], ['2016-07-05', '73.992119'], ['2016-07-05', '36.119999'], ['2016-07-05', '87.236130']]",-0.058013939,-0.124839597,0.030788521,"[-0.07561115635596158, -0.041562809371858606, -0.06382984366569969, -0.059177083417862465]","[-0.18646953483193882, -0.10410367994417748, -0.046925093356890296, -0.1353375316270199]","[0.25620629957519575, -0.015291857258485132, 0.05275423920856197, -0.06732005911810933]",7/5/16
227,"['DSW', 'WLKP', 'KMX', 'AN', 'HUN']","['OPK', 'HRB', 'EPD']",12/24/15,Enterprise Products Partners Is A Buy - Cramer's Lightning Round (12/23/15),"[['2015-12-24', '10.180000'], ['2015-12-24', '31.287153'], ['2015-12-24', '23.352110']]","[['2016-01-05', '9.820000'], ['2016-01-05', '31.212053'], ['2016-01-05', '23.586082']]","[['2016-02-01', '7.920000'], ['2016-02-01', '32.357277'], ['2016-02-01', '21.928391']]","[['2016-06-24', '9.750000'], ['2016-06-24', '21.214325'], ['2016-06-24', '26.470610']]",-0.003102905,-0.04032127,-0.113921814,"[-0.035363457760314285, -0.002400346237959045, 0.010019308747689241]","[-0.22200392927308446, 0.034203303828891155, -0.06096746717962524]","[-0.04223968565815321, -0.3219477336272815, 0.13354253641319783]",6/24/16
228,"['KSU', 'UNP', 'CTL', 'VTR', 'FRGI', 'JACK']","['V', 'DG', 'PACB', 'HAIN']",12/23/15,Bears Are Wrong On Dollar General - Cramer's Lightning Round (12/22/15),"[['2015-12-23', '77.397278'], ['2015-12-23', '70.469063'], ['2015-12-23', '13.450000'], ['2015-12-23', '42.310001']]","[['2016-01-04', '74.579597'], ['2016-01-04', '70.752434'], ['2016-01-04', '13.190000'], ['2016-01-04', '39.770000']]","[['2016-01-29', '73.387520'], ['2016-01-29', '73.341766'], ['2016-01-29', '10.690000'], ['2016-01-29', '36.380001']]","[['2016-06-23', '77.519806'], ['2016-06-23', '90.093407'], ['2016-06-23', '8.600000'], ['2016-06-23', '51.500000']]",-0.026196566,-0.048260234,0.118289563,"[-0.03640542759139402, 0.004021211407337547, -0.019330855018587344, -0.06003311132041799]","[-0.05180748087807436, 0.040765449087921055, -0.20520446096654274, -0.14015598817877598]","[0.0015831047701703753, 0.2784816934489393, -0.36059479553903345, 0.2172063054311911]",6/23/16
229,"['GWPH', 'CELG', 'REGN', 'BIIB', 'GG', 'GLD', 'MRO']","['CY', 'P', 'BMY']",12/22/15,Buy Bristol-Myers On Weakness - Cramer's Lightning Round (12/21/15),"[['2015-12-22', '8.919275'], ['2015-12-22', '14.190000'], ['2015-12-22', '64.952011']]","[['2015-12-31', '9.171927'], ['2015-12-31', '13.410000'], ['2015-12-31', '65.766769']]","[['2016-01-28', '7.058925'], ['2016-01-28', '9.580000'], ['2016-01-28', '58.472092']]","[['2016-06-22', '9.367812'], ['2016-06-22', '11.760000'], ['2016-06-22', '69.543755']]",0.00326375,-0.147059731,0.029641641,"[0.028326517570093915, -0.05496828752642702, 0.012543999599950765]","[-0.20857636971614849, -0.324876673713883, -0.09976471706164718]","[0.05028850439077166, -0.17124735729386892, 0.07069440852262458]",6/22/16
