TITLE,TIME,URL,TITLE
The Move In BlackBerry Is Done - Cramer's Lightning Round (6/8/17),"Fri, Jun. 9, 7:28 AM",https://seekingalpha.com/article/4080225-move-blackberry-done-cramers-lightning-round-6-8-17
Xerox Has No Positive Catalysts - Cramer's Lightning Round (6/7/17),"Thu, Jun. 8, 6:32 AM",https://seekingalpha.com/article/4079829-xerox-positive-catalysts-cramers-lightning-round-6-7-17
Teladoc Is Heavily Shorted - Cramer's Lightning Round (6/6/17),"Wed, Jun. 7, 6:40 AM",https://seekingalpha.com/article/4079423-teladoc-heavily-shorted-cramers-lightning-round-6-6-17
Charles River Laboratories Is A Good Buy - Cramer's Lightning Round (6/2/17),"Mon, Jun. 5, 7:10 AM",https://seekingalpha.com/article/4078655-charles-river-laboratories-good-buy-cramers-lightning-round-6-2-17
Yahoo Is Worth More In Parts - Cramer's Lightning Round (5/31/17),"Thu, Jun. 1, 7:15 AM",https://seekingalpha.com/article/4077960-yahoo-worth-parts-cramers-lightning-round-5-31-17
Square Has A Good Product - Cramer's Lightning Round (5/30/17),"Wed, May 31, 7:09 AM",https://seekingalpha.com/article/4077563-square-good-product-cramers-lightning-round-5-30-17
Dover Is A Great American Company - Cramer's Lightning Round (5/25/17),"Fri, May 26, 6:57 AM",https://seekingalpha.com/article/4076766-dover-great-american-company-cramers-lightning-round-5-25-17
Foot Locker Has Upside - Cramer's Lightning Round (5/24/17),"Thu, May 25, 6:36 AM",https://seekingalpha.com/article/4076376-foot-locker-upside-cramers-lightning-round-5-24-17
Buy eBay - Cramer's Lightning Round (5/23/17),"Wed, May 24, 6:00 AM",https://seekingalpha.com/article/4075992-buy-ebay-cramers-lightning-round-5-23-17
Don't Give Up On Splunk - Cramer's Lightning Round (5/22/17),"Tue, May 23, 6:07 AM",https://seekingalpha.com/article/4075544-give-splunk-cramers-lightning-round-5-22-17
Gilead Should Buy Incyte - Cramer's Lightning Round (5/19/17),"Mon, May 22, 7:30 AM",https://seekingalpha.com/article/4075131-gilead-buy-incyte-cramers-lightning-round-5-19-17
Walgreens Boots Alliance Is A Win-Win - Cramer's Lightning Round (5/18/17),"Fri, May 19, 6:03 AM",https://seekingalpha.com/article/4074619-walgreens-boots-alliance-win-win-cramers-lightning-round-5-18-17
Chinese Companies Are Speculative - Cramer's Lightning Round (5/17/17),"Thu, May 18, 6:23 AM",https://seekingalpha.com/article/4074297-chinese-companies-speculative-cramers-lightning-round-5-17-17
Gilead Sciences Is A Value Trap - Cramer's Lightning Round (5/5/17),"Mon, May 8, 6:25 AM",https://seekingalpha.com/article/4070384-gilead-sciences-value-trap-cramers-lightning-round-5-5-17
Hold On To Altria - Cramer's Lightning Round (5/4/17),"Fri, May 5, 7:27 AM",https://seekingalpha.com/article/4069578-hold-altria-cramers-lightning-round-5-4-17
Consider Exact Sciences On A Pullback - Cramer's Lightning Round (5/3/17),"Thu, May 4, 2:05 AM",https://seekingalpha.com/article/4068841-consider-exact-sciences-pullback-cramers-lightning-round-5-3-17
"Patience With Schlumberger, Skyworks - Cramer's Lightning Round (5/2/17)","Wed, May 3, 1:07 AM",https://seekingalpha.com/article/4068194-patience-schlumberger-skyworks-cramers-lightning-round-5-2-17
Alaska Air Is A Good Buy - Cramer's Lightning Round (5/1/17),"Tue, May 2, 6:53 AM",https://seekingalpha.com/article/4067702-alaska-air-good-buy-cramers-lightning-round-5-1-17
Go To Comcast - Cramer's Lightning Round (4/28/17),"Mon, May 1, 6:59 AM",https://seekingalpha.com/article/4067337-go-comcast-cramers-lightning-round-4-28-17
Nucor Is The Best Steel Stock - Cramer's Lightning Round (4/27/17),"Fri, Apr. 28, 7:20 AM",https://seekingalpha.com/article/4066604-nucor-best-steel-stock-cramers-lightning-round-4-27-17
Wingstop Over B-Dubs - Cramer's Lightning Round (4/26/17),"Thu, Apr. 27, 4:37 AM",https://seekingalpha.com/article/4065803-wingstop-b-dubs-cramers-lightning-round-4-26-17
Buy Bank Of America - Cramer's Lightning Round (4/25/17),"Wed, Apr. 26, 6:40 AM",https://seekingalpha.com/article/4065355-buy-bank-america-cramers-lightning-round-4-25-17
